Frequency,Power
4.830132939438699680e+01,2.104174872078629051e+02
4.838995568685376725e+01,8.892908132994618882e+02
4.847858197932053059e+01,5.240908258582180679e+02
4.856720827178729394e+01,2.236027740419165184e+02
4.865583456425405728e+01,1.754358557492973034e+02
4.874446085672082773e+01,2.401864592547539985e+02
4.883308714918759108e+01,2.570205433833743882e+02
4.892171344165435443e+01,4.797018102444032479e+02
4.901033973412111777e+01,3.970223865892542676e+02
4.909896602658788822e+01,4.421721137726356119e+02
4.918759231905465157e+01,4.906722111572593121e+02
4.927621861152141491e+01,5.928332289031894788e+02
4.936484490398817826e+01,6.988545672594325424e+02
4.945347119645494871e+01,3.877741428031443149e+01
4.954209748892171206e+01,1.670007330582112672e+02
4.963072378138847540e+01,2.120204059802439360e+02
4.971935007385523875e+01,4.754545270130844301e+02
4.980797636632200920e+01,1.734080541427987328e+02
4.989660265878877254e+01,4.904899318545622009e+02
4.998522895125553589e+01,4.887288808807969644e+02
5.007385524372229924e+01,5.671224958199668436e+02
5.016248153618906969e+01,6.030822247087122179e+01
5.025110782865583303e+01,1.545753577274585382e+02
5.033973412112259638e+01,1.895576748203865520e+02
5.042836041358935972e+01,2.617155638162764717e+02
5.051698670605613017e+01,2.874706395549896456e+02
5.060561299852289352e+01,1.687609406187173420e+02
5.069423929098965687e+01,3.030855275007533578e+02
5.078286558345642021e+01,3.151890380477227041e+02
5.087149187592319066e+01,2.706400492660226860e+02
5.096011816838995401e+01,2.442245536714538616e+02
5.104874446085671735e+01,1.845237234988269392e+02
5.113737075332348070e+01,4.109778940064016979e+02
5.122599704579025115e+01,7.969491639919124282e+02
5.131462333825701450e+01,4.847534144141278034e+02
5.140324963072377784e+01,1.607530108721256852e+02
